scorer,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000
bodyparts,arm0,arm0,arm0,arm1,arm1,arm1,joint,joint,joint
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
125,593.3419799804688,444.36126708984375,0.99996018409729,618.74462890625,412.3568420410156,0.9996418952941895,547.1348266601562,300.6053771972656,0.999936580657959
126,501.1130065917969,372.11468505859375,0.9999780654907227,586.2090454101562,376.86053466796875,0.9998624324798584,547.9683227539062,228.3828125,0.9999711513519287
127,519.877685546875,590.3516235351562,0.9999617338180542,572.1967163085938,534.0010986328125,0.9998767375946045,496.2879943847656,435.8153991699219,0.9999343156814575
128,412.9772644042969,499.82916259765625,0.9984470009803772,420.9628601074219,514.1864013671875,0.9997187256813049,481.1837463378906,385.7666015625,0.9999247789382935
129,412.48895263671875,254.98402404785156,0.9984595775604248,420.96343994140625,268.6349792480469,0.9994714856147766,480.8866882324219,138.53274536132812,0.9998553991317749
130,371.9748229980469,596.2078247070312,0.9999924898147583,400.234130859375,634.525146484375,0.9999116659164429,446.1460876464844,494.09417724609375,0.9995110034942627
131,590.1920776367188,482.18524169921875,0.9999668598175049,664.1746826171875,460.94451904296875,0.9998924732208252,610.6753540039062,327.02154541015625,0.9999345541000366
132,464.07525634765625,355.673095703125,0.9999963045120239,512.8899536132812,340.88580322265625,0.9999946355819702,468.9971618652344,196.56822204589844,0.9999746084213257
133,459.9934997558594,542.5930786132812,0.9998095631599426,523.198974609375,522.8618774414062,0.9994345307350159,474.1329650878906,385.9312438964844,0.999868631362915
134,548.23095703125,377.0833435058594,0.999981164932251,626.5892944335938,361.27142333984375,0.9999685287475586,576.0711669921875,222.74192810058594,0.9998012185096741
135,460.9158020019531,370.4189758300781,0.9999661445617676,537.3760375976562,356.1148681640625,0.9999749660491943,485.5736083984375,216.2251739501953,0.9999139308929443
136,572.6403198242188,437.4851989746094,0.9999222755432129,645.0317993164062,470.05499267578125,0.9999953508377075,633.806884765625,311.78082275390625,0.9997329115867615
137,435.4236145019531,283.5635070800781,0.9999537467956543,504.4821472167969,313.4123229980469,0.999963641166687,498.2891540527344,155.081787109375,0.9998983144760132
138,478.3131103515625,367.2041931152344,0.999872088432312,554.2724609375,348.6579895019531,0.9994792342185974,501.3000183105469,213.4027557373047,0.9999507665634155
139,291.6054992675781,334.5579528808594,0.999921441078186,333.4852600097656,403.49603271484375,0.9999344348907471,372.6451416015625,254.60939025878906,0.9999186992645264
140,658.8055419921875,622.6904907226562,0.9998784065246582,716.2174072265625,548.2817993164062,0.9998013377189636,634.6875,467.58380126953125,0.9998888969421387
141,685.9449462890625,679.6089477539062,0.9999377727508545,742.5016479492188,604.9061279296875,0.9998378753662109,662.376953125,525.3265380859375,0.9999141693115234
